EKR Rock Paradise	http://ekrrockradio2.scs.ms:8200/;	0
EKR Retro Rock	http://ekrrockradio4.scs.ms:8400/;	0
EKR Oldies Paradise	http://ekrrockradio3.scs.ms:8300/;	0
FluxFM Hard Rock	http://streams.fluxfm.de/hardrock/mp3-320/streams.fluxfm.de/	0
Rock Melodic Radio AOR	http://live.rockmelodic-radio.com:8124/;	0
The Colorful Radio	http://www.radiart.eu:8244/stream	0
181.FM Beatles	http://relay.181.fm:8062/;	0
181.FM Rock 181	http://relay.181.fm:8008/;	0
181.FM Rock 40 (Rock n Roll)	http://relay.181.fm:8028/;	0
181.FM The Rock!	http://relay.181.fm:8064/;	0
113 FM	http://113fm-edge1.cdnstream.com:80/1816_128	0
Absolute Country Hits Radio	http://strm112.1.fm:80/acountry_mobile_mp3	0
Skovoroda Music	http://stream.radioskovoroda.com:8060/skovoroda_music	0
Whisperings Фортепиано	http://pianosolo.streamguys.net:80/live	0
Симфония FM	https://radiorecord.hostingradio.ru:443/symph96.aacp	0
Radio Record - Rock	https://radiorecord.hostingradio.ru:443/rock96.aacp	0
НАШЕ КЛАССИКА РОК	http://nashe1.hostingradio.ru:80/nasheclassic.mp3	0
НАШЕ РАДИО 2.0	http://nashe1.hostingradio.ru:80/nashe20-128.mp3	0
НАШЕ РАДИО РОК	http://nashe1.hostingradio.ru:80/rock-128.mp3	0
НАШЕ Радио 100.7 FM	https://nashe1.hostingradio.ru:443/nashe-256	0
НАШЕ РАДИО СЕЙЧАС СПОЮ	http://nashe1.hostingradio.ru:80/nashesongs.mp3	0
Радио Maximum 106.1 FM	https://maximum.hostingradio.ru:443/maximum128.mp3	0
Русское КИНО	http://rr-russkoekino.hostingradio.ru:80/russkoekino96.aacp?0.9724754306696768	0
Relax FM (Москва) (AAC 64kbps)	https://pub0201.101.ru:443/stream/air/aac/64/200	0
Русское Радио 105.7	https://rusradio.hostingradio.ru:443/rusradio96.aacp	0
Радио Рекорд	https://radio-srv1.11one.ru:443/record192k.mp3	0
